;AQI;CO;datetime;no2;o3;pm10;pm25;so2;timestamp_local;timestamp_utc;ts
0;30.02.00;19.860.268;2022-10-21:18;0.046857167;55.789.948;10.486.722;56.374.097;0.3874302;2022-10-21T23:00:00;2022-10-21T18:00:00;1666375200
1;28.02.00;19.760.132;2022-10-21:19;0.046455536;5.493.164;10.719.325;4.618.169;0.40978193;2022-10-22T00:00:00;2022-10-21T19:00:00;1666378800
2;26.06.00;19.860.268;2022-10-21:20;0.046857167;5.464.554;11.155.578;3.520.902;0.40233135;2022-10-22T01:00:00;2022-10-21T20:00:00;1666382400
3;25.00.00;20.194.054;2022-10-21:21;0.048195943;5.507.469;11.116.206;22.259.188;0.37625432;2022-10-22T02:00:00;2022-10-21T21:00:00;1666386000
4;26.00.00;2.052.784;2022-10-21:22;0.048865333;55.789.948;1.040.525;19.794.711;0.33900142;2022-10-22T03:00:00;2022-10-21T22:00:00;1666389600
5;26.00.00;20.861.626;2022-10-21:23;0.050204106;56.505.203;9.402.518;17.926.769;0.31292439;2022-10-22T04:00:00;2022-10-21T23:00:00;1666393200
6;26.00.00;20.861.626;2022-10-22:00;0.050204106;55.789.948;8.482.822;17.522.373;0.31292439;2022-10-22T05:00:00;2022-10-22T00:00:00;1666396800
7;24.00.00;2.052.784;2022-10-22:01;0.050204106;52.928.925;75.866.675;18.584.585;0.3427267;2022-10-22T06:00:00;2022-10-22T01:00:00;1666400400
8;23.00;2.002.716;2022-10-22:02;0.046857167;500.679;76.365.867;22.080.758;0.39488077;2022-10-22T07:00:00;2022-10-22T02:00:00;1666404000
9;24.00.00;19.693.375;2022-10-22:03;0.044179615;51.498.413;8.487.648;24.766.808;0.42840838;2022-10-22T08:00:00;2022-10-22T03:00:00;1666407600
10;25.00.00;19.860.268;2022-10-22:04;0.04284084;5.364.418;9.357.371;2.585.729;0.42840838;2022-10-22T09:00:00;2022-10-22T04:00:00;1666411200
11;26.00.00;2.002.716;2022-10-22:05;0.04049798;55.789.948;10.338.728;2.390.081;0.39860606;2022-10-22T10:00:00;2022-10-22T05:00:00;1666414800
12;27.00.00;20.360.947;2022-10-22:06;0.040163286;59.366.226;105.233.135;20.860.224;0.3501773;2022-10-22T11:00:00;2022-10-22T06:00:00;1666418400
13;29.00.00;2.052.784;2022-10-22:07;0.03882451;6.222.725;1.063.597;19.370.468;0.31664968;2022-10-22T12:00:00;2022-10-22T07:00:00;1666422000
14;29.00.00;2.052.784;2022-10-22:08;0.03882451;62.942.505;9.964.803;18.353.107;0.29802322;2022-10-22T13:00:00;2022-10-22T08:00:00;1666425600
15;29.00.00;2.052.784;2022-10-22:09;0.03882451;62.942.505;9.214.411;17.251.893;0.28684735;2022-10-22T14:00:00;2022-10-22T09:00:00;1666429200
16;29.00.00;20.360.947;2022-10-22:10;0.037485734;6.222.725;8.772.117;16.406.621;0.28312206;2022-10-22T15:00:00;2022-10-22T10:00:00;1666432800
17;28.00.00;20.194.054;2022-10-22:11;0.042506143;60.796.738;8.753.794;16.333.728;0.29429793;2022-10-22T16:00:00;2022-10-22T11:00:00;1666436400
18;27.00.00;2.002.716;2022-10-22:12;0.050204106;59.366.226;8.807.467;16.368.104;0.3017485;2022-10-22T17:00:00;2022-10-22T12:00:00;1666440000
19;27.00.00;20.194.054;2022-10-22:13;0.0562286;5.865.097;877.486;16.662.308;0.3054738;2022-10-22T18:00:00;2022-10-22T13:00:00;1666443600
20;27.00.00;20.194.054;2022-10-22:14;0.0562286;5.865.097;8.675.813;16.905.783;0.3091991;2022-10-22T19:00:00;2022-10-22T14:00:00;1666447200
21;27.00.00;20.194.054;2022-10-22:15;0.054889824;57.935.715;891.592;17.058.017;0.31292439;2022-10-22T20:00:00;2022-10-22T15:00:00;1666450800
22;27.00.00;2.002.716;2022-10-22:16;0.052881658;57.935.715;9.227.945;17.327.535;0.32037497;2022-10-22T21:00:00;2022-10-22T16:00:00;1666454400
23;27.00.00;2.002.716;2022-10-22:17;0.05221227;5.865.097;949.179;17.653.873;0.32410026;2022-10-22T22:00:00;2022-10-22T17:00:00;1666458000
24;27.00.00;2.002.716;2022-10-22:18;0.05221227;59.366.226;9.907.828;18.273.274;0.32782555;2022-10-22T23:00:00;2022-10-22T18:00:00;1666461600
25;28.00.00;20.194.054;2022-10-22:19;0.05221227;61.511.993;10.095.885;18.884.155;0.32782555;2022-10-23T00:00:00;2022-10-22T19:00:00;1666465200
26;29.00.00;20.360.947;2022-10-22:20;0.052881658;6.365.776;9.879.244;18.928.599;0.32037497;2022-10-23T01:00:00;2022-10-22T20:00:00;1666468800
27;31.00.00;2.052.784;2022-10-22:21;0.05221227;6.651.878;9.503.339;18.595.637;0.31664968;2022-10-23T02:00:00;2022-10-22T21:00:00;1666472400
28;31.00.00;20.694.733;2022-10-22:22;0.05221227;67.949.295;9.008.138;18.291.963;0.31292439;2022-10-23T03:00:00;2022-10-22T22:00:00;1666476000
29;32.00.00;20.694.733;2022-10-22:23;0.051542886;6.866.455;8.729.765;17.879.448;0.31664968;2022-10-23T04:00:00;2022-10-22T23:00:00;1666479600
30;32.00.00;2.052.784;2022-10-23:00;0.050873496;6.866.455;8.912.433;17.960.476;0.31664968;2022-10-23T05:00:00;2022-10-23T00:00:00;1666483200
31;31.00.00;20.694.733;2022-10-23:01;0.054889824;6.723.404;93.376.875;18.106.897;0.31664968;2022-10-23T06:00:00;2022-10-23T01:00:00;1666486800
